Complexity,Loss,Equation
1,0.33146498,"-1.6774936"
4,0.22804122,"(-1.0979058 - sin(x0))"
5,0.14950852,"(-0.9978516 - (0.4326706 * x0))"
6,0.008358567,"(-2.421464 - inv(-0.42146832 - x0))"
7,0.0011221052,"(-1.073012 - cos(inv(0.3298918 + x0)))"
9,0.000171245,"(-1.014182 - cos(inv(x0 - -0.29492825) + -0.16352111))"
11,0.00014440183,"(-1.014182 - cos(inv((x0 * 0.94575304) - -0.29492825) + -0.21348953))"
12,9.024816e-5,"(sin(-1.570795) - cos(inv((x0 * 0.8543752) - -0.29641503) + -0.29641503))"
14,5.42388e-5,"(sin(-1.570795) - cos(inv(0.32356578 + x0) + (-0.10336291 * (x0 + 0.6751574))))"
16,4.920496e-5,"(sin(-1.570795) - (cos(inv(0.32356578 + x0) + (-0.10336291 * (0.6355183 + x0))) * 1.004107))"
18,4.7951864e-5,"(sin(-1.570795) - (cos(inv(0.32356578 + x0) + (-0.10336291 * ((x0 * 1.0248135) + 0.62852746))) * 1.004107))"
20,4.4586723e-5,"(sin(-1.570795 + -0.06554086) - (cos(inv(0.32356578 + x0) + (-0.10336291 * ((0.6355183 + x0) * 1.0248135))) * 1.004107))"
